subject,channel,condition,value
sub-02,E26,post,12.6439
sub-02,E27,pre,10.5743
sub-02,E27,post,11.7094
sub-02,E28,pre,10.998
sub-02,E28,post,11.6241
sub-02,E29,pre,9.9158
sub-02,E29,post,9.0928
sub-02,E30,pre,7.8367
sub-02,E30,post,8.4352
sub-02,E31,pre,6.4345
sub-02,E31,post,12.4494
sub-02,E32,pre,9.7628
sub-02,E32,post,11.4945
sub-02,E33,pre,11.1522
sub-02,E33,post,11.4283
sub-02,E34,pre,8.8458
sub-02,E34,post,8.711
sub-02,E35,pre,8.8202
sub-02,E35,post,13.3481
sub-02,E36,pre,8.785
sub-02,E36,post,11.0116
sub-02,E37,pre,7.6012
sub-02,E37,post,10.1552
sub-02,E38,pre,9.899
sub-02,E38,post,8.4565
sub-02,E39,pre,10.1506
sub-02,E39,post,12.6672
sub-02,E40,pre,9.4238
sub-02,E40,post,8.9131
sub-02,E41,pre,8.5235
sub-02,E41,post,9.5389
sub-02,E42,pre,8.4323
sub-02,E42,post,10.5073
sub-02,E43,pre,10.6402
sub-02,E43,post,10.1892
sub-02,E44,pre,9.5611
sub-02,E44,post,8.4481
sub-02,E45,pre,7.2115
sub-02,E45,post,7.3811
sub-02,E46,pre,7.6229
sub-02,E46,post,7.178
sub-02,E47,pre,7.4736
sub-02,E47,post,10.8222
sub-02,E48,pre,6.911
sub-02,E48,post,8.4061
sub-02,E49,pre,8.6206
sub-02,E49,post,7.5482
sub-02,E50,pre,10.6575
sub-02,E50,post,7.44
sub-02,E51,pre,9.6433
sub-02,E51,post,7.4491
sub-02,E52,pre,10.2477
sub-02,E52,post,8.7496
sub-02,E53,pre,10.5087
sub-02,E53,post,8.8106
sub-02,E54,pre,11.2024
sub-02,E54,post,11.3889
sub-02,E55,pre,8.4236
sub-02,E55,post,9.1515
sub-02,E56,pre,10.6266
sub-02,E56,post,7.3123
sub-02,E57,pre,10.6432
sub-02,E57,post,9.0453
sub-02,E58,pre,11.2068
sub-02,E58,post,8.3763
sub-02,E59,pre,11.0832
sub-02,E59,post,7.2935
sub-02,E60,pre,8.0625
sub-02,E60,post,9.2079
sub-02,E61,pre,7.2833
sub-02,E61,post,9.5271
sub-02,E62,pre,8.9724
sub-02,E62,post,7.2388
sub-02,E63,pre,9.8984
sub-02,E63,post,10.6055
sub-02,E64,pre,10.5998
sub-02,E64,post,9.9313
sub-02,E65,pre,8.6668
sub-02,E65,post,6.45
sub-02,E66,pre,10.7379
sub-02,E66,post,9.3071
sub-02,E67,pre,6.9083
sub-02,E67,post,7.7929
sub-02,E68,pre,9.1313
sub-02,E68,post,11.0017
sub-02,E69,pre,11.4019
sub-02,E69,post,9.8598
sub-02,E70,pre,6.942
sub-02,E70,post,6.4501
sub-02,E71,pre,7.498
sub-02,E71,post,8.3781
sub-02,E72,pre,11.6945
sub-02,E72,post,7.1596
sub-02,E73,pre,11.1902
sub-02,E73,post,9.0193
sub-02,E74,pre,9.3623
sub-02,E74,post,11.0892
sub-02,E75,pre,11.0251
sub-02,E75,post,8.8065
sub-02,E76,pre,10.2819
sub-02,E76,post,10.1004
sub-02,E77,pre,9.7463
sub-02,E77,post,11.0838
sub-02,E78,pre,9.0133
sub-02,E78,post,10.1671
sub-02,E79,pre,7.0121
sub-02,E79,post,10.5775
sub-02,E80,pre,6.7061
sub-02,E80,post,7.4844
sub-02,E81,pre,9.8555
sub-02,E81,post,12.2242
sub-02,E82,pre,10.3477
sub-02,E82,post,7.5368
sub-02,E83,pre,11.0001
sub-02,E83,post,8.3307
sub-02,E84,pre,10.622
sub-02,E84,post,9.8911
sub-02,E85,pre,11.3497
sub-02,E85,post,8.9621
sub-02,E86,pre,9.4997
sub-02,E86,post,10.9091
sub-02,E87,pre,9.8111
sub-02,E87,post,10.9106
sub-02,E88,pre,6.8456
sub-02,E88,post,9.7499
sub-02,E89,pre,8.35
sub-02,E89,post,9.6683
sub-02,E90,pre,11.3569
sub-02,E90,post,8.7695
sub-02,E91,pre,11.4855
sub-02,E91,post,11.3249
sub-02,E92,pre,7.9614
sub-02,E92,post,10.1503
sub-02,E93,pre,7.5543
sub-02,E93,post,9.8783
sub-02,E94,pre,7.1301
sub-02,E94,post,10.6865
sub-02,E95,pre,9.1093
sub-02,E95,post,9.2986
sub-02,E96,pre,8.6987
sub-02,E96,post,10.654
sub-02,E97,pre,8.2676
sub-02,E97,post,9.5253
sub-02,E98,pre,10.6447
sub-02,E98,post,9.4615
sub-02,E99,pre,7.5143
sub-02,E99,post,7.5069
sub-02,E100,pre,8.3971
sub-02,E100,post,11.5516
sub-02,E101,pre,11.109
sub-02,E101,post,9.1051
sub-02,E102,pre,6.8966
sub-02,E102,post,9.8673
sub-02,E103,pre,8.2517
sub-02,E103,post,6.8393
sub-02,E104,pre,11.1025
sub-02,E104,post,10.4048
sub-02,E105,pre,10.4811
sub-02,E105,post,9.0564
sub-02,E106,pre,7.4694
sub-02,E106,post,10.7268
sub-02,E107,pre,7.6696
sub-02,E107,post,9.8434
sub-02,E108,pre,6.7697
sub-02,E108,post,7.8851
sub-02,E109,pre,9.215
sub-02,E109,post,10.4324
sub-02,E110,pre,11.6174
sub-02,E110,post,9.9672
sub-02,E111,pre,8.1496
sub-02,E111,post,10.8168
sub-02,E112,pre,7.3631
sub-02,E112,post,11.2846
sub-02,E113,pre,7.1941
sub-02,E113,post,7.5378
sub-02,E114,pre,8.4985
sub-02,E114,post,10.4318
sub-02,E115,pre,11.4701
sub-02,E115,post,11.2251
sub-02,E116,pre,9.0125
sub-02,E116,post,6.8841
sub-02,E117,pre,8.6476
sub-02,E117,post,6.9779
sub-02,E118,pre,9.9408
sub-02,E118,post,10.2503
sub-02,E119,pre,9.5714
sub-02,E119,post,10.8795
sub-02,E120,pre,10.5638
sub-02,E120,post,10.2404
sub-02,E121,pre,8.7007
sub-02,E121,post,9.8127
sub-02,E122,pre,7.7895
sub-02,E122,post,11.1244
sub-02,E123,pre,10.1351
sub-02,E123,post,8.1973
sub-02,E124,pre,9.4246
sub-02,E124,post,9.6478
sub-02,E125,pre,7.7319
sub-02,E125,post,9.7608
sub-02,E126,pre,11.6163
sub-02,E126,post,7.3932
sub-02,E127,pre,7.7924
sub-02,E127,post,8.5291
sub-02,E128,pre,7.0786
sub-02,E128,post,8.0456
sub-02,E129,pre,7.5189
sub-02,E129,post,10.6041
sub-02,E130,pre,9.2079
sub-02,E130,post,7.8831
sub-02,E131,pre,8.9412
sub-02,E131,post,8.8614
sub-02,E132,pre,11.7696
sub-02,E132,post,9.5706
sub-02,E133,pre,8.3696
sub-02,E133,post,6.8579
sub-02,E134,pre,10.1224
sub-02,E134,post,9.2041
sub-02,E135,pre,8.9347
sub-02,E135,post,11.1924
sub-02,E136,pre,8.4387
sub-02,E136,post,8.6119
sub-02,E137,pre,9.4627
sub-02,E137,post,7.0642
sub-02,E138,pre,8.0185
sub-02,E138,post,11.5654
sub-02,E139,pre,11.6569
sub-02,E139,post,8.751
sub-02,E140,pre,11.175
sub-02,E140,post,10.2551
sub-02,E141,pre,8.5504
sub-02,E141,post,6.2766
sub-02,E142,pre,8.6588
sub-02,E142,post,8.575
sub-02,E143,pre,7.9293
sub-02,E143,post,9.3548
sub-02,E144,pre,10.8557
sub-02,E144,post,8.6553
sub-02,E145,pre,9.4591
sub-02,E145,post,10.3411
sub-02,E146,pre,8.6169
sub-02,E146,post,10.1442
sub-02,E147,pre,10.5197
sub-02,E147,post,10.1625
sub-02,E148,pre,9.2169
sub-02,E148,post,11.6793
sub-02,E149,pre,9.5107
sub-02,E149,post,10.2295
sub-02,E150,pre,9.8825
sub-02,E150,post,9.836
sub-02,E151,pre,10.0975
sub-02,E151,post,6.8517
sub-02,E152,pre,6.7583
sub-02,E152,post,8.2321
sub-02,E153,pre,8.4272
sub-02,E153,post,10.2502
sub-02,E154,pre,10.3525
sub-02,E154,post,6.9847
sub-02,E155,pre,8.3715
sub-02,E155,post,10.0574
sub-02,E156,pre,7.3214
sub-02,E156,post,11.0161
sub-02,E157,pre,10.1805
sub-02,E157,post,9.9251
sub-02,E158,pre,9.5403
sub-02,E158,post,7.4513
sub-02,E159,pre,7.2435
sub-02,E159,post,10.9838
sub-02,E160,pre,7.5113
sub-02,E160,post,9.9998
sub-02,E161,pre,10.9922
sub-02,E161,post,10.3007
sub-02,E162,pre,10.3196
sub-02,E162,post,8.8349
sub-02,E163,pre,11.3863
sub-02,E163,post,10.6363
sub-02,E164,pre,10.0484
sub-02,E164,post,8.2095
sub-02,E165,pre,8.9681
sub-02,E165,post,7.583
sub-02,E166,pre,10.3737
sub-02,E166,post,7.5792
sub-02,E167,pre,7.5479
sub-02,E167,post,9.6848
sub-02,E168,pre,6.6322
sub-02,E168,post,8.4362
sub-02,E169,pre,10.6394
sub-02,E169,post,6.8114
sub-02,E170,pre,8.9186
sub-02,E170,post,11.5592
sub-02,E171,pre,7.4342
sub-02,E171,post,11.2565
sub-02,E172,pre,10.8528
sub-02,E172,post,6.7604
sub-02,E173,pre,9.8954
sub-02,E173,post,10.9632
sub-02,E174,pre,11.0574
sub-02,E174,post,7.5251
sub-02,E175,pre,8.6959
sub-02,E175,post,9.1879
sub-02,E176,pre,11.3239
sub-02,E176,post,11.0774
sub-02,E177,pre,6.2892
sub-02,E177,post,10.6676
sub-02,E178,pre,9.7792
sub-02,E178,post,9.5323
sub-02,E179,pre,8.9917
sub-02,E179,post,7.6156
sub-02,E180,pre,9.2104
sub-02,E180,post,8.2021
sub-02,E181,pre,10.4958
sub-02,E181,post,9.3809
sub-02,E182,pre,10.9699
sub-02,E182,post,11.1743
sub-02,E183,pre,6.8378
sub-02,E183,post,9.7504
sub-02,E184,pre,8.556
sub-02,E184,post,8.1782
sub-02,E185,pre,10.4017
sub-02,E185,post,11.4031
sub-02,E186,pre,6.5667
sub-02,E186,post,9.7779
sub-02,E187,pre,7.417
sub-02,E187,post,8.3599
sub-02,E188,pre,10.6607
sub-02,E188,post,9.7029
sub-02,E189,pre,11.5082
sub-02,E189,post,8.4027
sub-02,E190,pre,7.3131
sub-02,E190,post,7.4112
sub-02,E191,pre,8.4873
sub-02,E191,post,9.1543
